playerID,year,tmID,GP,GS,minutes,oRebounds,dRebounds,dq,PostGP,PostGS,PostMinutes,PostoRebounds,PostdRebounds,PostDQ,Postperformance,performance,points_precision,Postpoints_precision
harrokr01w,6,MIN,31.0,0.0,499.0,9.0,30.0,0.0,3.0,0.0,65.0,1.0,6.0,0.0,15.0,166.0,142.0,20.0
haydeva01w,6,MIN,29.0,1.0,350.0,23.0,61.0,0.0,2.0,0.0,16.0,0.0,2.0,0.0,2.0,181.0,203.0,10.0
haydeva01w,7,MIN,30.0,13.0,472.5,35.5,88.0,1.0,1.0,0.0,8.0,0.0,1.0,0.0,1.0,261.5,252.5,5.0
haydeva01w,9,MIN,33.0,3.0,424.0,41.0,74.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,227.0,0.0
haydeva01w,10,LAS,30.0,0.0,304.0,42.0,63.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,179.0,0.0
haynikr01w,7,SAC,30.0,0.0,434.0,19.0,43.0,0.0,8.0,0.0,103.0,4.0,10.0,0.0,36.0,167.0,185.0,27.0
haynikr01w,8,SAC,32.0,0.0,455.0,19.5,45.0,0.0,8.5,0.0,114.5,3.5,12.0,0.0,53.5,187.5,201.0,43.5
haynikr01w,9,ATL,34.0,1.0,510.5,14.0,38.0,0.0,6.0,0.0,88.0,2.0,9.0,0.0,47.0,177.0,209.0,37.0
haynikr01w,10,DET,33.5,2.5,515.5,11.5,35.0,0.0,1.5,0.0,25.0,0.5,2.0,0.0,11.5,162.0,180.5,7.0
haynikr01w,10,SAC,33.5,2.5,515.5,11.5,35.0,0.0,1.5,0.0,25.0,0.5,2.0,0.0,11.5,162.0,180.5,7.0
hendetr01w,4,CLE,23.0,0.0,173.0,12.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,50.0,0.0
henniso01w,2,SEA,32.0,32.0,980.0,22.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,261.0,0.0
henniso01w,3,HOU,32.0,30.0,941.0,18.0,60.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.5,245.0,0.0
henniso01w,3,SEA,32.0,30.0,941.0,18.0,60.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.5,245.0,0.0
henniso01w,4,IND,21.0,14.333333333333334,543.3333333333334,10.666666666666666,41.0,0.6666666666666666,1.0,1.0,16.0,0.3333333333333333,1.0,0.0,1.6666666666666667,125.33333333333333,115.33333333333333,6.666666666666667
henniso01w,4,WAS,21.0,14.333333333333334,543.3333333333334,10.666666666666666,41.0,0.6666666666666666,1.0,1.0,16.0,0.3333333333333333,1.0,0.0,1.6666666666666667,125.33333333333333,115.33333333333333,6.666666666666667
herriam01w,2,UTA,25.0,0.0,341.0,26.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,91.0,0.0
herriam01w,3,UTA,28.5,0.5,394.5,24.5,45.5,0.5,1.0,0.0,10.5,0.5,0.5,0.0,0.5,134.0,101.0,4.0
hicksje01w,2,ORL,26.0,1.0,157.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,37.0,0.0
hicksje01w,3,ORL,29.0,3.0,306.5,25.5,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,129.0,0.0
hicksje01w,4,CON,31.5,5.5,463.5,49.0,48.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,200.0,0.0
hicksje01w,5,SAS,29.0,3.0,362.0,41.5,33.5,0.5,2.0,0.0,13.5,1.5,1.5,0.0,5.5,165.0,133.0,3.0
hillec01w,2,PHO,26.0,0.0,213.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,100.0,0.0
hledeko01w,2,UTA,31.0,31.0,867.0,25.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,336.0,0.0
hledeko01w,3,NYL,29.0,20.5,661.0,20.0,46.5,0.5,1.0,0.0,8.5,0.5,1.0,0.0,2.5,270.5,264.0,4.0
hodgedo01w,6,LAS,24.0,3.0,245.0,3.0,19.0,0.0,3.0,0.0,29.0,0.0,4.0,0.0,11.0,67.0,88.0,6.0
hodgedo01w,7,LAS,28.0,7.0,457.0,5.5,29.0,0.0,2.5,0.0,21.0,0.0,2.5,0.0,8.0,155.5,159.0,4.5
hodgedo01w,8,SEA,33.0,7.0,562.5,8.5,36.0,0.0,3.5,0.0,26.5,1.5,1.5,0.0,10.0,216.0,235.5,12.5
hodgedo01w,9,IND,20.0,1.5,244.5,4.5,17.5,0.0,2.5,0.0,20.0,1.5,1.0,0.0,7.5,100.0,131.0,11.0
hodgero01w,7,HOU,26.0,0.0,188.0,9.0,8.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,49.0,89.0,0.0
hodgero01w,8,HOU,29.5,4.0,443.0,10.0,31.0,0.0,2.0,0.0,18.5,1.5,0.0,0.0,8.5,168.5,217.5,16.0
hodgero01w,9,HOU,31.0,6.0,514.5,9.5,38.0,0.0,1.0,0.0,17.5,1.5,0.0,0.0,8.5,209.5,277.5,16.0
hodgero01w,10,MIN,22.0,5.0,302.5,6.5,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,184.0,0.0
hoffmeb01w,6,IND,30.0,13.0,334.0,34.0,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,127.0,0.0
hoffmeb01w,7,IND,31.5,6.5,415.5,34.0,58.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,135.5,0.0
hoffmeb01w,8,IND,33.5,16.5,674.0,53.5,91.5,0.5,1.0,1.0,26.0,1.0,2.0,0.5,6.5,257.5,210.0,5.5
hoffmeb01w,9,IND,34.0,21.5,716.5,56.5,108.5,0.5,3.0,1.0,47.0,2.5,5.0,0.5,14.5,284.5,213.5,13.5
hoffmeb01w,10,IND,33.5,21.5,797.5,67.0,130.5,1.5,3.5,1.5,72.0,3.5,13.5,0.0,37.0,385.0,256.5,31.0
holdsch01w,2,WAS,32.0,32.0,1131.0,57.0,183.0,0.0,2.0,2.0,75.0,3.0,8.0,0.0,38.0,779.0,604.0,33.0
holdsch01w,3,WAS,30.5,30.5,1053.0,64.5,183.5,0.0,1.0,1.0,37.5,1.5,4.0,0.0,19.0,751.0,623.0,16.5
holdsch01w,4,WAS,24.5,24.5,804.5,63.0,181.0,0.0,2.5,2.5,86.5,5.0,16.5,0.0,71.0,664.0,519.5,51.5
holdsch01w,5,WAS,23.5,23.5,791.0,63.0,200.0,0.0,2.5,2.5,86.5,5.0,16.5,0.0,71.0,722.5,496.5,51.5
holdsch01w,6,LAS,25.0,24.5,874.5,61.5,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728.5,557.0,0.0
holdsch01w,7,LAS,28.0,27.5,992.0,68.5,138.5,1.0,1.0,1.0,39.0,1.5,3.5,0.0,17.5,683.0,515.0,14.5
holdsch01w,8,LAS,29.0,16.5,961.0,71.5,116.0,1.0,2.5,1.5,61.5,3.5,7.0,0.0,30.0,630.0,434.0,27.0
